product_or_service_code_description,total_obligated_amount,fiscal_year
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,105215760325.17,2015
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,108765091632.76,2015
MEDICAL- GENERAL HEALTH CARE,129498723106.25,2015
OTHER,476792320800.19,2015
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,15466849561.16,2014
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,16117754376.669998,2014
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,29188527544.5,2014
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,31472635075.9,2014
SYSTEMS ENGINEERING SERVICES,32352888106.45,2014
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,38158848540.6,2014
SUPPORT- PROFESSIONAL: OTHER,43181223656.46,2014
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,97947476933.07,2014
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,98249398849.17,2014
MEDICAL- GENERAL HEALTH CARE,134154829013.56999,2014
OTHER,480967696556.08,2014
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,15367300752.71,2013
CONSTRUCT/MISC BLDGS,18698311095.56,2013
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,29787119190.67,2013
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,30964840949.91,2013
SYSTEMS ENGINEERING SERVICES,33962536897.33,2013
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,39356815219.090004,2013
SUPPORT- PROFESSIONAL: OTHER,42963214731.62,2013
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,92959560633.6,2013
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,96985153895.34,2013
MEDICAL- GENERAL HEALTH CARE,134388755181.69,2013
OTHER,479766161714.83997,2013
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,15057442078.05,2012
CONSTRUCT/MISC BLDGS,24810038077.77,2012
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,28134422322.95,2012
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,32687311629.46,2012
SYSTEMS ENGINEERING SERVICES,35586667858.5,2012
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,40326003442.01,2012
SUPPORT- PROFESSIONAL: OTHER,40769366740.19,2012
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,85341163252.27,2012
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,95647165113.53,2012
MEDICAL- GENERAL HEALTH CARE,125074182933.23999,2012
OTHER,473578229349.6801,2012
TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH,15411256013.63,2022
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,16951508304.56,2022
CONSTRUCTION OF MISCELLANEOUS BUILDINGS,16961479743.68,2022
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,22303551779.69,2022
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,22560821662.47,2022
SUPPORT- PROFESSIONAL: OTHER,32368085566.71,2022
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,35702588855.03,2022
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,59226167249.33,2022
MEDICAL- GENERAL HEALTH CARE,65166304525.24,2022
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,114137468524.78,2022
OTHER,399734975091.37,2022
CONSTRUCTION OF MISCELLANEOUS BUILDINGS,15245558026.37,2020
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,16476355524.53,2020
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,24104102901.23,2020
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,28296556704.6,2020
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,28340419086.51,2020
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,44556817579.29,2020
SUPPORT- PROFESSIONAL: OTHER,45483396965.73,2020
MEDICAL- GENERAL HEALTH CARE,80419602843.8,2020
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,104097462483.06999,2020
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,135828737713.92,2020
OTHER,504081817843.29,2020
TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH,14624356159.31,2021
CONSTRUCTION OF MISCELLANEOUS BUILDINGS,16200479561.38,2021
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,23694995861.05,2021
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,23897741548.41,2021
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,25928675526.96,2021
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,41801972097.82,2021
SUPPORT- PROFESSIONAL: OTHER,43919192734.83,2021
MEDICAL- GENERAL HEALTH CARE,65721003093.82,2021
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,103222234879.95,2021
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,130621215001.43,2021
OTHER,474539341549.01996,2021
TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH,13749784312.550001,2019
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,18280016405.49,2019
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,23459267664.079998,2019
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,28863109879.19,2019
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,28987946599.98,2019
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,45520963328.89,2019
SUPPORT- PROFESSIONAL: OTHER,47456652656.6,2019
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,106503282284.89,2019
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,136545886111.95,2019
MEDICAL- GENERAL HEALTH CARE,159563347810.37,2019
OTHER,506358699411.30005,2019
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,13799747631.9,2018
MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,17681152008.89,2018
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,22519528128.84,2018
IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,28890418531.86,2018
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,29352107199.49,2018
MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,44196581621.43,2018
SUPPORT- PROFESSIONAL: OTHER,45975309783.42,2018
SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,108732338418.89,2018
SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,129714777541.68,2018
MEDICAL- GENERAL HEALTH CARE,158722939721.15,2018
OTHER,487415138872.01,2018
